pc4;woonplaatscode;woonplaatsnaam;gemeentecode;gemeentenaam;provinciecode;provincienaam;veiligheidsregio;politie-eenheid;omgevingsdienst;drinkwater;netbeheer
5764;2094;De Rips;1652;Gemert-Bakel;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
7966;1085;De Schiphorst;0119;Meppel;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;Vitens;Enexis
6994;1502;De Steeg;0275;Rheden;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
9219;3276;De Tike;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9215;3277;De Veenhoop;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
1793;2739;De Waal;0448;Texel;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1661;2789;De Weere;0432;Opmeer;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1662;2789;De Weere;0432;Opmeer;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1663;2789;De Weere;0432;Opmeer;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
9271;3273;De Westereen;1891;Dantumadiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
7957;3162;de Wijk;1690;De Wolden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9213;3278;De Wilgen;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9367;2260;De Wilp;0025;Marum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
1489;2269;de Woude;0383;Castricum;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
2191;1928;De Zilk;0576;Noordwijkerhout;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland;Dunea;Liander
2211;1928;De Zilk;0576;Noordwijkerhout;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland;Dunea;Liander
8644;2526;Dearsum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
7701;1546;Dedemsvaart;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7702;1546;Dedemsvaart;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
8764;2306;Dedgum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
6877;2773;Deelen;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6653;2903;Deest;0225;Druten;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen;Vitens;Liander
4158;3217;Deil;0236;Geldermalsen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
9033;2727;Deinum;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
7491;1440;Delden;1735;Hof van Twente;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Enexis
2645;1143;Delfgauw;1926;Pijnacker-Nootdorp;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Dunea;Stedin
8508;2240;Delfstrahuizen;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
2611;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2612;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2613;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2614;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2616;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2622;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2623;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2624;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2625;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2626;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2627;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2628;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
2629;2138;Delft;0503;Delft;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Stedin
9931;3234;Delfzijl;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9932;3234;Delfzijl;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9933;3234;Delfzijl;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;;Enexis
9934;3234;Delfzijl;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;;Enexis
5316;2630;Delwijnen;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
5354;3260;Demen;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
9956;2466;Den Andel;0053;Winsum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
3258;2132;Den Bommel;1924;Goeree-Overflakkee;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR;Evides;Stedin
1791;2740;Den Burg;0448;Texel;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
3734;2822;Den Dolder;0355;Zeist;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht;Vitens;Stedin
5271;2058;Den Dungen;0845;Sint-Michielsgestel;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
5275;2058;Den Dungen;0845;Sint-Michielsgestel;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
7683;3321;Den Ham;1700;Twenterand;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Enexis
9833;2116;Den Ham;0056;Zuidhorn;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9833;3321;Den Ham;1700;Twenterand;23;Overijssel;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
1781;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;;Liander
1782;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1783;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1784;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1785;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1786;3056;Den Helder;0400;Den Helder;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;;Liander
1797;2741;Den Hoorn;0448;Texel;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1797;2807;Den Hoorn;1842;Midden-Delfland;28;Zuid-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
2635;2807;Den Hoorn;1842;Midden-Delfland;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden;Evides;Westland infra
9832;2117;Den Horn;0056;Zuidhorn;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
4911;3595;Den Hout;0826;Oosterhout;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
1127;1329;Den Ilp;0415;Landsmeer;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond;PWN;Liander
1779;1489;Den Oever;1911;Hollands Kroon;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;;Liander
7786;1547;Den Velde;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7591;1408;Denekamp;1774;Dinkelland;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Enexis
5751;1774;Deurne;0762;Deurne;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5752;1774;Deurne;0762;Deurne;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5753;1774;Deurne;0762;Deurne;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5754;1774;Deurne;0762;Deurne;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
7561;1409;Deurningen;1774;Dinkelland;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Enexis
7562;1669;Deurningen;0173;Oldenzaal;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Coteq netbeheer
5352;3256;Deursen-Dennenburg;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
9457;1154;Deurze;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7411;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7412;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7413;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7414;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7415;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7416;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7417;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7418;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7419;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7421;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7422;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7423;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7424;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7425;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7426;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7427;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
7428;2856;Deventer;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
6941;2205;Didam;1955;Montferland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
6942;2205;Didam;1955;Montferland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
5353;3259;Dieden;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
1111;2144;Diemen;0384;Diemen;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;Waternet;Liander
1112;2144;Diemen;0384;Diemen;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;Waternet;Liander
1113;2144;Diemen;0384;Diemen;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;Waternet;Liander
7478;1441;Diepenheim;1735;Hof van Twente;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Enexis
7431;2857;Diepenveen;0150;Deventer;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
6951;1504;Dieren;0275;Rheden;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6952;1504;Dieren;0275;Rheden;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6953;1504;Dieren;0275;Rheden;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
5087;1308;Diessen;0798;Hilvarenbeek;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
7981;3107;Diever;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7984;3108;Dieverbrug;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7795;1548;Diffelen;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
8528;2487;Dijken;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
4671;1402;Dinteloord;0851;Steenbergen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
7091;1196;Dinxperlo;0197;Aalten;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7842;2152;Diphoorn;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
1746;3289;Dirkshorn;0441;Schagen;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
3247;2377;Dirksland;1924;Goeree-Overflakkee;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR;Evides;Stedin
6669;1094;Dodewaard;1740;Neder-Betuwe;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
6439;2100;Doenrade;0962;Schinnen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg;WML;Enexis
6981;2142;Doesburg;0221;Doesburg;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6982;2142;Doesburg;0221;Doesburg;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6983;2142;Doesburg;0221;Doesburg;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6984;2142;Doesburg;0221;Doesburg;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
7001;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7002;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7003;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7004;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
