wplcode;Woonplaatsnaam;gemcode;Gemeentenaam;Provinciecode;Provincienaam;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
1766;Alphen;0668;West Maas en Waal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
3160;Alteveer;1690;De Wolden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1633;Alteveer;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3079;Alteveer;0037;Stadskanaal;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1810;Alteveer gem Hoogeveen;0118;Hoogeveen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1767;Altforst;0668;West Maas en Waal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1438;Ambt Delden;1735;Hof van Twente;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2106;Ameide;0707;Zederik;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1147;Amen;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1026;America;1507;Horst aan de Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
3337;Amerongen;1581;Utrechtse Heuvelrug;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
1664;Amersfoort;0307;Amersfoort;26;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
2367;Ammerstol;1931;Krimpenerwaard;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1624;Ammerzoden;0263;Maasdriel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
3547;Amstelhoek;0736;De Ronde Venen;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
1050;Amstelveen;0362;Amstelveen;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied
2099;Amstenrade;0962;Schinnen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
3594;Amsterdam;0363;Amsterdam;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied
3569;Amsterdam-Duivendrecht;0437;Ouder-Amstel;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied
3301;Andel;0874;Woudrichem;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1862;Andelst;1734;Overbetuwe;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem
1148;Anderen;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1053;Andijk;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1537;Ane;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
1538;Anerveen;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
1539;Anevelde;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
3133;Angeren;1705;Lingewaard;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem
1299;Angerlo;0299;Zevenaar;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem
3388;Anjum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2999;Ankeveen;1696;Wijdemeren;27;Noord-Holland;Gooi en Vechtstreek;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
1149;Anloo;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3185;Anna Paulowna;1911;Hollands Kroon;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1150;Annen;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1151;Annerveenschekanaal;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3161;Ansen;1690;De Wolden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3104;Ansen;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3560;Apeldoorn;0200;Apeldoorn;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Veluwe IJssel
1753;Appelscha;0085;Ooststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1768;Appeltern;0668;West Maas en Waal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
3386;Appingedam;0003;Appingedam;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3140;Arcen;0983;Venlo;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1432;Arkel;0689;Giessenlanden;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1008;Arnemuiden;0687;Middelburg;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1296;Arnhem;0202;Arnhem;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem
3630;Arriën;0175;Ommen;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
2302;Arum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3370;Asch;0214;Buren;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
2353;Asperen;0733;Lingewaal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
2391;Assen;0106;Assen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1878;Assendelft;0479;Zaanstad;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied
2928;Asten;0743;Asten;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
3307;Augsbuurt;0079;Kollumerland en Nieuwkruisland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3173;Augustinusga;0059;Achtkarspelen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2824;Austerlitz;0355;Zeist;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
1183;Avenhorn;1598;Koggenland;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1128;Axel;0715;Terneuzen;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
2202;Azewijn;1955;Montferland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
2621;Baaiduinen;0093;Terschelling;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
